surfactant,temperature_(degC),composition_(wt%),observed_phase,tail_length_calculated_(A),tail_volume_calculated_(A^3),head_area_calculated_(A^2),AL/V_calculated,shape_identifier_(0-L/1-V/2-Y)
C8E6,25,0,L1,11.19,243.2,44.3,2.04,0
C8E6,25,0.05,L1,11.19,243.2,44.3,2.04,0
C8E6,25,0.1,L1,11.19,243.2,44.3,2.04,0
C8E6,25,0.15,L1,11.19,243.2,44.3,2.04,0
C8E6,25,0.2,L1,11.19,243.2,44.3,2.04,0
C8E6,25,0.25,L1,11.19,243.2,44.3,2.04,0
C8E6,25,0.3,L1,11.19,243.2,44.3,2.04,0
C8E6,25,0.35,L1,11.19,243.2,44.3,2.04,0
C8E6,25,0.4,L1,11.19,243.2,44.3,2.04,0
C8E6,25,0.45,L1,11.19,243.2,44.3,2.04,0
C8E6,25,0.5,L1,11.19,243.2,44.3,2.04,0
C8E6,25,0.55,L2,11.19,243.2,44.3,2.04,0
C8E6,25,0.6,L2,11.19,243.2,44.3,2.04,0
C8E6,25,0.65,L2,11.19,243.2,44.3,2.04,0
C8E6,25,0.7,L2,11.19,243.2,44.3,2.04,0
C8E6,25,0.75,L2,11.19,243.2,44.3,2.04,0
C8E6,25,0.8,L2,11.19,243.2,44.3,2.04,0
C8E6,25,0.85,L2,11.19,243.2,44.3,2.04,0
C8E6,25,0.9,L2,11.19,243.2,44.3,2.04,0
C8E6,25,0.95,L2,11.19,243.2,44.3,2.04,0
C8E6,25,1,L2,11.19,243.2,44.3,2.04,0
C8E6,30,0,L1,11.19,243.2,44.3,2.04,0
C8E6,30,0.05,L1,11.19,243.2,44.3,2.04,0
C8E6,30,0.1,L1,11.19,243.2,44.3,2.04,0
C8E6,30,0.15,L1,11.19,243.2,44.3,2.04,0
C8E6,30,0.2,L1,11.19,243.2,44.3,2.04,0
C8E6,30,0.25,L1,11.19,243.2,44.3,2.04,0
C8E6,30,0.3,L1,11.19,243.2,44.3,2.04,0
C8E6,30,0.35,L1,11.19,243.2,44.3,2.04,0
C8E6,30,0.4,L1,11.19,243.2,44.3,2.04,0
C8E6,30,0.45,L1,11.19,243.2,44.3,2.04,0
C8E6,30,0.5,L1,11.19,243.2,44.3,2.04,0
C8E6,30,0.55,L2,11.19,243.2,44.3,2.04,0
C8E6,30,0.6,L2,11.19,243.2,44.3,2.04,0
C8E6,30,0.65,L2,11.19,243.2,44.3,2.04,0
C8E6,30,0.7,L2,11.19,243.2,44.3,2.04,0
C8E6,30,0.75,L2,11.19,243.2,44.3,2.04,0
C8E6,30,0.8,L2,11.19,243.2,44.3,2.04,0
C8E6,30,0.85,L2,11.19,243.2,44.3,2.04,0
C8E6,30,0.9,L2,11.19,243.2,44.3,2.04,0
C8E6,30,0.95,L2,11.19,243.2,44.3,2.04,0
C8E6,30,1,L2,11.19,243.2,44.3,2.04,0
C8E6,35,0,L1,11.19,243.2,44.3,2.04,0
C8E6,35,0.05,L1,11.19,243.2,44.3,2.04,0
C8E6,35,0.1,L1,11.19,243.2,44.3,2.04,0
C8E6,35,0.15,L1,11.19,243.2,44.3,2.04,0
C8E6,35,0.2,L1,11.19,243.2,44.3,2.04,0
C8E6,35,0.25,L1,11.19,243.2,44.3,2.04,0
C8E6,35,0.3,L1,11.19,243.2,44.3,2.04,0
C8E6,35,0.35,L1,11.19,243.2,44.3,2.04,0
C8E6,35,0.4,L1,11.19,243.2,44.3,2.04,0
C8E6,35,0.45,L1,11.19,243.2,44.3,2.04,0
C8E6,35,0.5,L1,11.19,243.2,44.3,2.04,0
C8E6,35,0.55,L2,11.19,243.2,44.3,2.04,0
C8E6,35,0.6,L2,11.19,243.2,44.3,2.04,0
C8E6,35,0.65,L2,11.19,243.2,44.3,2.04,0
C8E6,35,0.7,L2,11.19,243.2,44.3,2.04,0
C8E6,35,0.75,L2,11.19,243.2,44.3,2.04,0
C8E6,35,0.8,L2,11.19,243.2,44.3,2.04,0
C8E6,35,0.85,L2,11.19,243.2,44.3,2.04,0
C8E6,35,0.9,L2,11.19,243.2,44.3,2.04,0
C8E6,35,0.95,L2,11.19,243.2,44.3,2.04,0
C8E6,35,1,L2,11.19,243.2,44.3,2.04,0
C8E6,40,0,L1,11.19,243.2,44.3,2.04,0
C8E6,40,0.05,L1,11.19,243.2,44.3,2.04,0
C8E6,40,0.1,L1,11.19,243.2,44.3,2.04,0
C8E6,40,0.15,L1,11.19,243.2,44.3,2.04,0
C8E6,40,0.2,L1,11.19,243.2,44.3,2.04,0
C8E6,40,0.25,L1,11.19,243.2,44.3,2.04,0
C8E6,40,0.3,L1,11.19,243.2,44.3,2.04,0
C8E6,40,0.35,L1,11.19,243.2,44.3,2.04,0
C8E6,40,0.4,L1,11.19,243.2,44.3,2.04,0
C8E6,40,0.45,L1,11.19,243.2,44.3,2.04,0
C8E6,40,0.5,L1,11.19,243.2,44.3,2.04,0
C8E6,40,0.55,L2,11.19,243.2,44.3,2.04,0
C8E6,40,0.6,L2,11.19,243.2,44.3,2.04,0
C8E6,40,0.65,L2,11.19,243.2,44.3,2.04,0
C8E6,40,0.7,L2,11.19,243.2,44.3,2.04,0
C8E6,40,0.75,L2,11.19,243.2,44.3,2.04,0
C8E6,40,0.8,L2,11.19,243.2,44.3,2.04,0
C8E6,40,0.85,L2,11.19,243.2,44.3,2.04,0
C8E6,40,0.9,L2,11.19,243.2,44.3,2.04,0
C8E6,40,0.95,L2,11.19,243.2,44.3,2.04,0
C8E6,40,1,L2,11.19,243.2,44.3,2.04,0
C8E6,45,0,L1,11.19,243.2,44.3,2.04,0
C8E6,45,0.05,L1,11.19,243.2,44.3,2.04,0
C8E6,45,0.1,L1,11.19,243.2,44.3,2.04,0
C8E6,45,0.15,L1,11.19,243.2,44.3,2.04,0
C8E6,45,0.2,L1,11.19,243.2,44.3,2.04,0
C8E6,45,0.25,L1,11.19,243.2,44.3,2.04,0
C8E6,45,0.3,L1,11.19,243.2,44.3,2.04,0
C8E6,45,0.35,L1,11.19,243.2,44.3,2.04,0
C8E6,45,0.4,L1,11.19,243.2,44.3,2.04,0
C8E6,45,0.45,L1,11.19,243.2,44.3,2.04,0
C8E6,45,0.5,L1,11.19,243.2,44.3,2.04,0
C8E6,45,0.55,L2,11.19,243.2,44.3,2.04,0
C8E6,45,0.6,L2,11.19,243.2,44.3,2.04,0
C8E6,45,0.65,L2,11.19,243.2,44.3,2.04,0
C8E6,45,0.7,L2,11.19,243.2,44.3,2.04,0
C8E6,45,0.75,L2,11.19,243.2,44.3,2.04,0
C8E6,45,0.8,L2,11.19,243.2,44.3,2.04,0
C8E6,45,0.85,L2,11.19,243.2,44.3,2.04,0
C8E6,45,0.9,L2,11.19,243.2,44.3,2.04,0
C8E6,45,0.95,L2,11.19,243.2,44.3,2.04,0
